Логин,Токен,Роль
Опытный Василий,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpYXQiOjE3NDEwMzAwMDksInN1YiI6IjJiNDQzYmVmLWU3NGItNDc2Yi1iZDdlLWE0MmFkM2ZjZmYyYyJ9.q_UnI_HtGgtKY0-MkhI60EQ8h777XZwTmVolSm79Iew,ментор
Владислав IT,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpYXQiOjE3NDEwMzAwMDksInN1YiI6IjgyZmU3MzNmLTE4OWMtNDA2ZS05MGI2LWIzMGI3ZjhkMDBjNyJ9.2gWpvUAEOfybrVrYAXJfvwiQMo5QgRmjQizgG_8TW70,ментор
Ярослав Python,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpYXQiOjE3NDEwMzAwMDksInN1YiI6Ijk4ZGQ4YjMzLTkwNGQtNGVkNy05MjJhLTNjZTdhNmQ4MzgwZiJ9.X-m4Ffe3y-1Lj75X4amWj6lR3X7H0NCBkC1nrRlySQI,ментор
Михаил JS,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpYXQiOjE3NDEwMzAwMDksInN1YiI6IjE3ZTZiNGQxLWVmNDItNDRkZC04NjVlLTljODNjMWYyZDViNiJ9.gQl-aPNi6I2g_4bIzBHMy0JvTrKlwGhA-IyDS0BPigs,ментор
Даня React,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpYXQiOjE3NDEwMzAwMDksInN1YiI6IjNkZDQ0OTRlLWIxMWYtNGZjNy1hYmRmLTU1MjIzMDM1ZmE1YSJ9.aIS7lA686b4RMXRE-W44gcDlUCjK63p7x7EVsS0E9nU,ментор
Студент Майкл,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpYXQiOjE3NDEwMzAwMDksInN1YiI6IjMxNTRmNmMxLWMxZGEtNDM5NS04YTY0LTU4ZjNkZGJiMGUzYSJ9.vaPeiffv2cfFBwfwPW3hvWj9tfnwq2TAaw18YNuGRKY,студент
Студент Влад,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpYXQiOjE3NDEwMzAwMTAsInN1YiI6IjRkZDJjZGIxLTg5YzUtNDE4Yi05YTZhLTkzOWM0NjE3NGIzMCJ9.2re9xqsAvHVCQzD6b2e9Msz_ija1VC0SqOCj1fJ9dMw,студент
Студент Илья,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpYXQiOjE3NDEwMzAwMTAsInN1YiI6IjFmN2EwZTYxLWEzOTgtNDBjNi04Y2QwLWMwM2I2MzIxYjE0YiJ9.E6wtxuKaHoexPjily36XaGXOYbbNNC9G8b-z6tGcUqk,студент
Студент Иван,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpYXQiOjE3NDEwMzAwMTAsInN1YiI6Ijk2YzMxODk4LTdhM2QtNDYyOC05MDNhLTA0N2Q5ZTU4Y2Q5MSJ9.RuwuNXtnX0pkufTu_ULqm3HByEyx-zVIfONffQ5C7mE,студент
Студент Максим,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpYXQiOjE3NDEwMzAwMTAsInN1YiI6IjQ5ZGJkZGUzLWNhNjYtNDUyZC04NzkzLTZkODY1YTY2Mjk2OSJ9.9yEcaE6uf7KsnksJtYN60rIH8Vzdpg_pUgUGYklg64Q,студент
